时间,地点,对阵/赛果,性质,主教练
2021.10.13,沙特 吉达,沙特3-2中国,12强赛,李铁
2021.10.08,阿联酋 沙迦,中国3-2越南,12强赛,李铁
2021.09.07,卡塔尔,中国0-1日本,12强赛,李铁
2021.09.03,卡塔尔,澳大利亚3-0中国,12强赛,李铁
2021.06.16,阿联酋 沙迦,中国3-1叙利亚,世预赛,李铁
2021.06.12,阿联酋 沙迦,中国5-0马尔代夫,世预赛,李铁
2021.06.08,阿联酋 沙迦,中国2-0菲律宾,世预赛,李铁
2021.05.30,苏州,关岛0-7中国,世预赛,李铁
2021.03.30,上海,山东泰山0-3中国,热身赛,李铁
2021.03.30,上海,嵩山龙门0-2中国,热身赛,李铁
2021.02.09,海口,长春亚泰0-2中国,热身赛,李铁
2021.02.05,海口,河北华夏1-5中国,热身赛,李铁
2020.05.26,上海,上海申花0-4中国,热身赛,李铁
2020.05.21,上海,上海上港1-4中国,热身赛,李铁
2020.01.21,广州,武汉卓尔0-1中国,热身赛,李铁
2020.01.18,广州,沈阳城市0-8中国,热身赛,李铁
2019.12.18,釜山,中国香港0-2中国,东亚杯,李铁
2019.12.15,釜山,韩国1-0中国,东亚杯,李铁
2019.12.10,釜山,日本2-1中国,东亚杯,李铁
2019.11.15,迪拜,叙利亚2-1中国,世预赛,武磊
2019.10.15,巴科洛德,菲律宾0-0中国,世预赛,里皮
2019.10.10,广州,中国7-0关岛,世预赛,里皮
2019.09.11,马累,马尔代夫0-5中国,世预赛,里皮
2019.06.11,广州,中国1-0塔吉克,热身,里皮
2019.06.07,广州,中国2-0菲律宾,热身,里皮
2019.03.25,南宁,中国0-1乌兹别克,中国杯,里皮
2019.03.21,南宁,中国0-1泰国,中国杯,里皮
2019.01.25,阿联酋,中国0-3伊朗,亚洲杯,里皮
2019.01.20,阿联酋,中国2-1泰国,亚洲杯,里皮
2019.01.16,阿联酋,中国0-2韩国,亚洲杯,里皮
2019.01.11,阿联酋,中国3-0菲律宾,亚洲杯,里皮
2019.01.07,阿联酋,中国2-1吉尔吉斯斯坦,亚洲杯,里皮
2018.11.20,南京,中国1-1巴勒斯坦,热身,里皮
2018.10.16,南京,叙利亚0-2中国,热身,里皮
2018.10.13,苏州,印度0-0中国,热身,里皮
2018.09.11,麦纳麦,巴林0-0中国,热身,里皮
2018.09.08,多哈,卡塔尔1-0中国,热身,里皮
2018.6.2,曼谷,泰国0-2中国,热身,里皮
2018.5.26,南京,缅甸0-1中国,热身,里皮
2018.03.26,南宁,中国1-4捷克,中国杯,里皮
2018.03.22,南宁,中国0-6威尔士,中国杯,里皮
2017.12.16,日本,中国1-1朝鲜,东亚杯,里皮
2017.12.12,日本,中国1-2日本,东亚杯,里皮
2017.12.9,日本,中国2-2韩国,东亚杯,里皮
2017.11.14,重庆,中国0-4哥伦比亚,热身赛,里皮
2017.11.10,广州,中国0-2塞尔维亚,热身赛,里皮
2017.9.5,多哈,卡塔尔1-2中国,世预赛12强赛,里皮
2017.8.31,武汉,中国1-0乌兹别克斯坦,世预赛12强赛,里皮
2017.6.14,马六甲,叙利亚2-2中国,世预赛12强赛,里皮
2017.6.7,广州,中国8-1菲律宾,热身赛,里皮
2017.3.28,德黑兰,中国0-1伊朗,世预赛12强赛,里皮
2017.3.23,长沙,中国1-0韩国,世预赛12强赛,里皮
2017.1.14,南宁,中国5-4克罗地亚,中国杯,里皮
2017.1.10,南宁,中国0-0冰岛,中国杯,里皮
2016.11.15,昆明,中国0-0卡塔尔,世预赛12强赛,里皮
2016.10.11,塔什干,乌兹别克斯坦2-0中国,世预赛12强赛,高洪波
2016.10.6,西安,中国0-1叙利亚,世预赛12强赛,高洪波
2016.9.6,沈阳,中国0-0伊朗,世预赛12强赛,高洪波
2016.9.1,首尔,韩国3-2中国,世预赛12强赛,高洪波
2016.6.7,大连,中国0-1哈萨克斯坦,热身赛,高洪波
2016.6.3,秦皇岛,中国4-2特立尼达和多巴哥,热身赛,高洪波
2016.3.29,西安,中国2-0卡塔尔,世预赛,高洪波
2016.3.24,武汉,中国4-0马尔代夫,世预赛,高洪波
2015.11.17,中国香港,中国香港0-0中国,世预赛,佩兰
2015.11.12,长沙,中国12-0不丹,世预赛,佩兰
2015.10.9,多哈,卡塔尔1-0中国,世预赛,佩兰
2015.9.8,沈阳,马尔代夫0-3中国,世预赛,佩兰
2015.9.3,深圳,中国0-0中国香港,世预赛,佩兰
2015.8.9,武汉,中国1-1日本,东亚杯,佩兰
2015.8.5,武汉,中国2-0朝鲜,东亚杯,佩兰
2015.8.2,武汉,中国0-2韩国,东亚杯,佩兰
2015.6.16,不丹,不丹0-6中国,世预赛,佩兰
2015.3.31,南京,中国1-1突尼斯,热身,佩兰
2015.3.27,长沙,中国2-2海地,热身,佩兰
2015.1.22,澳大利亚,中国0-2澳大利亚,亚洲杯,佩兰
2015.1.18,澳大利亚,中国2-1朝鲜,亚洲杯,佩兰
2015.1.14,澳大利亚,中国2-1乌兹别克斯坦,亚洲杯,佩兰
2015.1.10,澳大利亚,中国1-0沙特,亚洲杯,佩兰
2014.12.21,郴州,中国0-0巴勒斯坦,热身赛,佩兰
2014.12.17,广州,中国中国2-0吉尔吉斯斯坦,热身赛（非A级赛）,佩兰
2014.12.13,郴州,中国4-0吉尔吉斯斯坦,热身赛（非A级赛）,佩兰
2014.11.18,西安,中国0-0洪都拉斯,热身赛,佩兰
2014.11.14,南昌,中国1-1新西兰,热身赛,佩兰
2014.10.14,长沙,中国2-1巴拉圭,热身赛,佩兰
2014.10.10,武汉,中国3-0泰国,热身赛,佩兰
2014.09.09,哈尔滨,中国1-1约旦,热身赛,佩兰
2014.09.04,鞍山,中国3-1科威特,热身赛,佩兰
2014.06.18,沈阳,中国2-0马其顿,热身赛,佩兰
2014.06.22,济南,中国0-0马其顿,热身赛,佩兰
2014.06.29,深圳,中国1-3马里,热身赛,佩兰
2014.03.06,沙迦,伊拉克3-1中国,亚预赛,傅博
2013.11.19,西安,中国0-0沙特,亚预赛,傅博
2013.11.15,西安,中国1-0印尼,亚预赛,傅博
2013.10.15,印尼,印尼1-1中国,亚预赛,傅博
2013.09.10,天津,中国2-0马来西亚,热身赛,傅博
2013.09.6,天津,中国6-1新加坡,热身赛,傅博
2013.07.28,韩国,澳大利亚3-4中国,东亚杯,傅博
2013.07.24,韩国,韩国0-0中国,东亚杯,傅博
2013.07.21,韩国,日本3-3中国,东亚杯,傅博
2013.6.15,合肥,中国1-5泰国,热身赛,卡马乔
2013.6.11,北京,中国0-2荷兰,热身赛,卡马乔
2013.6.6,呼和浩特,中国1-2乌兹别克,热身赛,卡马乔
2013.3.22,长沙,中国1-0伊拉克,亚预赛,卡马乔
2013.2.7,达曼,沙特2-1中国,亚预赛,卡马乔
2013.1.30,马斯喀特,阿曼1-0中国,热身赛,卡马乔
2012.11.14,上海,中国1-1新西兰,热身赛,卡马乔
2012.9.11,累西腓,巴西8-0中国,热身赛,卡马乔
2012.9.7,赫尔辛堡,瑞典1-0中国,热身赛,卡马乔
2012.8.15,西安,中国1-1加纳,热身赛,卡马乔
2012.6.8,武汉,中国3-0越南,热身赛,卡马乔
2012.6.4,塞维利亚,西班牙1-0中国,热身赛,卡马乔
2012.2.29,广州,中国3-1约旦,世预赛,卡马乔
2012.2.22,长沙,中国2-0科威特,热身赛,卡马乔
2011.11.15,新加坡,新加坡0-4中国,世预赛,卡马乔
2011.11.11,多哈,伊拉克1-0中国,世预赛,卡马乔
2011.10.11,深圳,中国0-1伊拉克,世预赛,卡马乔
2011.10.06,深圳,中国2-1阿联酋,热身赛,卡马乔
2011.9.7,安曼,约旦2-1中国,世预赛,卡马乔
2011.9.2,昆明,中国2-1新加坡,世预赛,卡马乔
2011.08.10,合肥,中国1-0牙买加,热身赛,高洪波
2011.07.28,万象,中国6-1老挝,世预赛,高洪波
2011.07.23,昆明,中国7-2老挝,世预赛,高洪波
2011.06.8,贵阳,中国2-0朝鲜,热身赛,高洪波
2011.06.5,昆明,中国1-0乌兹别克,热身赛,高洪波
2011.03.29,武汉,中国3-0洪都拉斯,热身赛,高洪波
2011.03.27,哥斯达黎加,中国2-2哥斯达黎加,热身赛,高洪波
2011.03.25,武汉,中国1-1新西兰,热身赛,高洪波
2011.01.17,卡塔尔,中国2-2乌兹别克,亚洲杯,高洪波
2011.01.13,卡塔尔,中国0-2卡塔尔,亚洲杯,高洪波
2011.01.08,卡塔尔,中国2-0科威特,亚洲杯,高洪波
2011.01.02,卡塔尔,中国3-2伊拉克,热身赛,高洪波
2010.12.22,广州,中国1-0马其顿,热身赛,高洪波
2010.12.18,珠海,中国3-0爱沙尼亚,热身赛,高洪波
2010.11.17,昆明,中国1-0拉脱维亚,热身赛,高洪波
2010.10.12,武汉,中国0-4乌拉圭,热身赛,高洪波
2010.10.08,昆明,中国2-1叙利亚,热身赛,高洪波
2010.9.07,南京,中国1-1巴拉圭,热身赛,高洪波
2010.9.03,郑州,中国0-2伊朗,热身赛,高洪波
2010.8.11,南宁,中国1-1巴林,热身赛,高洪波
2010.6.26,昆明,中国4-0塔吉克斯坦,热身赛,高洪波
2010.6.05,留尼旺,中国1-0法国,热身赛,高洪波
2010.5.19,江阴,中国3-0勒沃库森,热身赛,高洪波
2010.3.04,葡萄牙,中国0-2葡萄牙,热身赛,高洪波
2010.2.14,日本,中国2-0中国香港,东亚四强赛,高洪波
2010.2.10,日本,中国3-0韩国,东亚四强赛,高洪波
2010.2.06,日本,中国0-0日本,东亚四强赛,高洪波
2010.1.17,河内,中国2-1越南,亚预赛,高洪波
2010.1.06,杭州,中国0-0叙利亚,亚预赛,高洪波
2009.12.30,义乌,中国2-2约旦,热身赛,高洪波
2009.11.22,杭州,中国1-0黎巴嫩,亚预赛,高洪波
2009.11.14,贝鲁特,中国2-0黎巴嫩,亚预赛,高洪波
2009.11.8,科威特,中国2-2科威特,热身赛,高洪波
2009.9.30,呼和浩特,中国4-1博茨瓦纳,热身赛,高洪波
2009.9.09,哈尔滨,中国0-0塞内加尔,热身赛,高洪波
2009.8.15,吉隆坡,中国0-0马来西亚国奥,热身赛,高洪波
2009.8.12,新加坡,中国1-1新加坡(点球4-3),热身赛,高洪波
2009.7.25,天津,中国3-0吉尔吉斯斯坦,热身赛,高洪波
2009.7.18,天津,中国3-1巴勒斯坦,热身赛,高洪波
2009.6.04,天津,中国1-4沙特,热身赛,高洪波
2009.6.01,秦皇岛,中国1-0伊朗,热身赛,高洪波
2009.5.29,上海,中国1-1德国,热身赛,高洪波
2009.1.21,杭州,中国6-1越南,亚预赛,殷铁生
2009.1.14,叙利亚,叙利亚3-2中国,亚预赛,殷铁生
2009.1.9,德黑兰,伊朗3-1中国,热身赛,殷铁生
2008.12.22,安曼,约旦0-1中国,热身赛,殷铁生
2008.12.19,阿曼,伊朗2-0中国,热身赛,殷铁生
2008.12.17,阿曼,阿曼3-1中国,热身赛,殷铁生
2008.6.22,悉尼,澳大利亚0-1中国,世预赛,福拉多
2008.6.14,天津,中国1-2伊拉克,世预赛,福拉多
2008.6.7,天津,中国0-1卡塔尔,世预赛,福拉多
2008.6.3,多哈,卡塔尔0-0中国,世预赛,福拉多
2008.5.25,昆山,中国2-0约旦,热身赛,福拉多
2008.4.24,洛杉矶,萨尔瓦多2-2中国,热身赛,福拉多
2008.4.17,西雅图,墨西哥1-0中国,热身赛,福拉多
2008.3.26,昆明,中国0-0澳大利亚,世预赛,福拉多
2008.3.15,昆明,中国3-3泰国,热身赛,福拉多
2008.2.23,重庆,中国3-1朝鲜,四国赛,福拉多
2008.2.20,重庆,中国0-1日本,四国赛,福拉多
2008.2.17,重庆,中国2-3韩国,四国赛,福拉多
2008.2.6,迪拜,伊拉克1-1中国,世预赛,福拉多
2008.1.27,中山,中国2-1叙利亚,热身赛,福拉多
2008.1.20,中山,中国0-0黎巴嫩,热身赛,福拉多
2008.1.11,迪拜,中国0-0阿联酋,热身赛,福拉多
2007.10.28,吉隆坡,缅甸0-4中国,世预赛,福拉多
2007.10.21,佛山,中国7-0缅甸,世预赛,福拉多
2007.7.18,吉隆坡,中国0-3乌兹别克斯坦,亚洲杯,朱广沪
2007.7.15,吉隆坡,中国2-2伊朗,亚洲杯,朱广沪
2007.7.10,吉隆坡,中国5-1马来西亚,亚洲杯,朱广沪
2007.6.3,圣何塞,中国1-4美国,友谊赛,朱广沪
2007.5.16,曼谷,中国0-1泰国,友谊赛,朱广沪
2007.3.27,澳门,中国3-1乌兹别克斯坦,友谊赛,朱广沪
2007.3.24,广州,中国0-2澳大利亚,友谊赛,朱广沪
2007.2.9,苏州,中国1-0哈萨克斯坦,教学赛,朱广沪
2007.2.7,苏州,中国2-1哈萨克斯坦,友谊赛,朱广沪
2006.11.15,长沙,中国1-1伊拉克,亚预赛,朱广沪
2006.10.12,安曼,中国2-0巴勒斯坦,亚预赛,朱广沪
2006.9.6,新加坡,中国0-0新加坡,亚预赛,朱广沪
2006.8.16,天津,中国1-0新加坡,亚预赛,朱广沪
2006.8.10,秦皇岛,中国4-0泰国,友谊赛,朱广沪
2006.6.8,圣埃蒂安,中国1-3法国,友谊赛,朱广沪
2006.6.3,苏黎世,中国1-4瑞士,友谊赛,朱广沪
2006.3.1,艾因,中国1-2伊拉克,亚预赛,朱广沪
2006.2.22,广州,中国2-0巴勒斯坦,亚预赛,朱广沪
2006.2.12,广州,中国0-1洪都拉斯,友谊赛,朱广沪
2005.11.16,长沙,中国0-0保加利亚,友谊赛,朱广沪
2005.11.13,南京,中国0-2塞黑,友谊赛,朱广沪
2005.11.6,澳门,中国1-0朝鲜,东亚运,朱广沪
2005.11.5,澳门,中国2-1日本,东亚运,朱广沪
2005.11.3,澳门,中国1-3朝鲜,东亚运,朱广沪
2005.11.1,澳门,中国2-0中国香港,东亚运,朱广沪
2005.10.30,澳门,中国10-0中国澳门,东亚运,朱广沪
2005.10.13,汉堡,中国0-1德国,友谊赛,朱广沪
2005.8.7,大邱,中国2-0朝鲜,四强赛,朱广沪
2005.8.3,大田,中国2-2日本,四强赛,朱广沪
2005.7.31,大田,中国1-1韩国,四强赛,朱广沪
2005.6.22,广州,中国2-0哥斯达黎加,友谊赛,朱广沪
2005.6.19,长沙,中国2-2哥斯达黎加,友谊赛,朱广沪
2005.3.30,都柏林,中国0-1爱尔兰,友谊赛,朱广沪
2005.3.27,萨拉曼卡,中国0-3西班牙,友谊赛,朱广沪
2004.11.17,广州,中国7-0中国香港,世预赛,阿里汉
2004.10.13,科威特城,中国0-1科威特,世预赛,阿里汉
2004.9.08,槟城,中国1-0马来西亚,世预赛,阿里汉
2004.8.07,北京,中国1-3日本,亚洲杯,阿里汉
2004.8.03,北京,中国5-4(点4-3)伊朗,亚洲杯,阿里汉
2004.7.30,北京,中国3-0伊拉克,亚洲杯,阿里汉
2004.7.25,北京,中国1-0卡塔尔,亚洲杯,阿里汉
2004.7.21,北京,中国5-0印尼,亚洲杯,阿里汉
2004.7.17,北京,中国2-2巴林,亚洲杯,阿里汉
2004.7.10,呼和浩特,中国2-2阿联酋,热身赛,阿里汉
2004.7.03,重庆,中国6-0黎巴嫩,热身赛,阿里汉
2004.6.09,天津,中国4-0马来西亚,世预赛,阿里汉
2004.6.01,天津,中国2-1匈牙利,热身赛,阿里汉
2004.4.28,克莱蒙,中国1-0阿尔及利亚,热身赛,阿里汉
2004.4.21,巴塞罗那,中国0-6巴塞罗那,热身赛,阿里汉
2004.4.14,皮拉拉达,中国0-0安道尔,热身赛,阿里汉
2004.3.31,香港,中国1-0香港,世预赛,阿里汉
2004.3.17,广州,中国2-0缅甸,热身赛,阿里汉
2004.2.18,广州,中国1-0科威特,世预赛,阿里汉
2004.2.07,深圳,中国2-1芬兰,热身赛,阿里汉
2004.2.03,广州,中国2-1芬兰,热身赛,阿里汉
2004.1.29,苏州,中国1-0马其顿,热身赛,阿里汉
2004.1.27,义乌,中国0-0马其顿,热身赛,阿里汉
2003.12.10,横滨,中国3-1香港,东亚四强赛,阿里汉
2003.12.07,崎玉,中国0-1韩国,东亚四强赛,阿里汉
2003.12.04,东京,中国0-2日本,东亚四强赛,阿里汉
2003.9.10,纽约,中国1-2纽约地铁明星,热身赛,阿里汉
2003.9.07,迈阿密,中国0-2哥斯达黎加,热身赛,阿里汉
2003.9.04,洛杉矶,中国0-0洛杉矶银河,热身赛,阿里汉
2003.9.01,迈阿密,中国3-4海地,热身赛,阿里汉
2003.8.20,天津,中国0-0智利,热身赛,阿里汉
2003.2.16,武汉,中国1-0爱沙尼亚,热身赛,阿里汉
2003.2.12,昆明,中国0-0巴西,热身赛,阿里汉
2002.12.12,麦纳麦,巴林2-2中国,友谊赛,沈祥福
2002.12.09,麦纳麦,约旦0-0中国,友谊赛,沈祥福
2002.12.07,麦纳麦,中国3-1叙利亚,友谊赛,沈祥福
2002.06.13,首尔,土耳其3-0中国,世界杯,米卢蒂诺维奇
2002.06.08,西归浦,巴西4-0中国,世界杯,米卢蒂诺维奇
2002.06.04,光州,中国0-2哥斯达黎加,世界杯,米卢蒂诺维奇
2002.05.25,澳门,中国0-2葡萄牙,友谊赛,米卢蒂诺维奇
2002.05.16,沈阳,中国0-2乌拉圭,友谊赛,米卢蒂诺维奇
2002.05.11,昆明,中国3-1泰国,友谊赛,米卢蒂诺维奇
2002.04.27,仁川,韩国0-0中国,中韩足球对抗赛,米卢蒂诺维奇
2002.02.15,香港,斯洛文尼亚0-0(点球4-3)中国,贺岁杯,米卢蒂诺维奇
2002.02.12,香港,中国香港1-1(点球4-3)中国,贺岁杯,米卢蒂诺维奇
2001.10.19,塔什干,乌兹别克1-0中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.10.13,沈阳,中国3-0卡塔尔,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.10.07,沈阳,中国1-0阿曼,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.09.27,迪拜,阿联酋0-1中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.09.15,沈阳,中国2-0乌兹别克,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.09.07,多哈,卡塔尔1-1中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.08.31,马斯喀特,阿曼0-2中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.08.25,沈阳,中国3-0阿联酋,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.08.05,上海,中国3-0特立尼达,四国邀请赛,米卢蒂诺维奇
2001.08.03,上海,中国2-2(点球2-4)朝鲜,四国邀请赛,米卢蒂诺维奇
2001.05.27,雅加达,印度尼西亚0-2中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.05.20,广州,中国3-1柬埔寨,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.05.13,昆明,中国5-1印度尼西亚,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.05.06,金边,柬埔寨0-4中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.04.28,马累,马尔代夫0-1中国,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.04.22,西安,中国10-1马尔代夫,世界杯预选赛亚洲区,米卢蒂诺维奇
2001.02.17,曼谷,瑞典3-0中国,泰王杯,米卢蒂诺维奇
2001.02.14,曼谷,泰国1-5中国,泰王杯,米卢蒂诺维奇
2001.02.12,曼谷,中国2-2瑞典,泰王杯,米卢蒂诺维奇
2001.02.10,曼谷,中国1-1卡塔尔,泰王杯,米卢蒂诺维奇
2001.01.27,奥克兰,美国2-1中国,友谊赛,米卢蒂诺维奇
2001.01.19,德黑兰,伊朗4-0中国,文明杯,米卢蒂诺维奇
2001.01.17,德黑兰,埃及0-0(点球2-3)中国,文明杯,米卢蒂诺维奇
2000.10.29,贝鲁特,韩国1-0中国,亚洲杯,米卢蒂诺维奇
2000.10.26,贝鲁特,日本3-2中国,亚洲杯,米卢蒂诺维奇
2000.10.23,塞达,中国3-1卡塔尔,亚洲杯,米卢蒂诺维奇
2000.10.19,的黎波里,中国0-0科威特,亚洲杯,米卢蒂诺维奇
2000.10.16,的黎波里,中国4-0印度尼西亚,亚洲杯,米卢蒂诺维奇
2000.10.13,的黎波里,韩国2-2中国,亚洲杯,米卢蒂诺维奇
2000.10.07,安曼,约旦1-1中国,友谊赛,米卢蒂诺维奇
2000.10.05,安曼,中国0-2沙特阿拉伯,友谊赛,米卢蒂诺维奇
2000.09.03,上海,中国4-1伊拉克,友谊赛,米卢蒂诺维奇
2000.09.01,上海,中国3-1泰国,友谊赛,米卢蒂诺维奇
2000.07.28,北京,中国0-1韩国,友谊赛,米卢蒂诺维奇
2000.05.25,北京,中国0-2南斯拉夫,友谊赛,米卢蒂诺维奇
2000.04.25,香港,中国香港0-1中国,友谊赛,米卢蒂诺维奇
2000.03.28,贝尔格莱德,塞尔维亚1-0中国,友谊赛,米卢蒂诺维奇
2000.03.15,神户,日本0-0中国,友谊赛,霍顿
2000.01.29,河内,越南0-2中国,亚洲杯预选赛,霍顿
2000.01.26,河内,中国19-0关岛,亚洲杯预选赛,霍顿
2000.01.23,河内,中国8-0菲律宾,亚洲杯预选赛,霍顿
2000.01.16,广州,中国1-0乌拉圭选拔队,友谊赛,霍顿
2000.01.14,广州,中国1-0新西兰,友谊赛,霍顿
1997.11.12,,中国1-0科威特,世界杯预选赛亚洲区,戚务生
